note;commentaire;date;site;scrap_date
5;Lave linge d'excellente qualité reçu dans les délais. Les 2 personnes qui sont venus ont repris l'ancien sans aucune difficultés. Ils ont mis en place la nouvelle machine et ont même branché l'arrivée d'eau. Je suis âgée et j'ai trouvé le service très précieux, on a toujours peur quand on commande par Internet d'avoir un service minimum ce qui n'est pas le cas chez UBALDIMerci encore.;2024-02-01 11:29:29;cdiscount.com;2024-02-01 21:07:43
5;1ère expérience qualitative avec Ubaldi. Site simple à utiliser et filtres efficaces pour acheter un frigidaire. Produits dans les prix du marché, plutôt vers le bas. Plusieurs SMS envoyés pour dire que la commande a été prise en compte, indiquer le livreur, les horaires, prévenir de controler les produits livrés...Livraison très pro. Vendeur à recommander.;2024-02-01 16:07:30;cdiscount.com;2024-02-01 21:07:43
5;Les livreurs très sérieux La date et l’heure prévue respectées Le service après vente fantastique très patient et efficace (les 3personnes que j’ai contacté )Petit détail négatif reçu un appel en numéro masqué Si non vraiment satisfaite;2024-02-01 15:20:01;cdiscount.com;2024-02-01 21:07:43
5;Expérience plus que satisfaisante. Mon sèche linge initialement choisi n’était finalement plus disponible lors de la validation de commande. Ubaldi m’a alors proposé le modèle supérieur pour le même prix. Livraison en 48 heures par un prestataire exemplaire qui en plus de respecter les horaires du créneau choisi  sont d une politesse et d une gentillesse qui franchement est rare ! Je recommande les yeux fermés ce site par sa fiabilité et son efficacité;2024-02-01 11:32:55;cdiscount.com;2024-02-01 21:07:43
4;j'ai commandé une machine à laver,comme c’était prévu la reprise de mon ancienne machine devait être reprise par le transporteur.celui ci m'a dit que son véhicule était plein .donc est reparti et m'a laisser l'ancienne machine sur les bras.pourriez-vous m'indiquer la suite de la procédure cordialement;2024-02-01 15:11:38;cdiscount.com;2024-02-01 21:07:43
5;Produit acheté à un prix très intéressant . Livraison très rapide ... retardée par CHRONOPOST , qui m'envoie un message pour me dire livraison à telle heure ... et me bloque tout un samedi ... et qui ne vient pas sans prévenir.Livraison faite après le we finalement .;2024-02-01 09:27:31;cdiscount.com;2024-02-01 21:07:43
5;La télévision oled Philips ambilight était la moins cher chez ubaldi et en plus livré dans la pièce qu'on souhaite. Dommage que ce n'est pas installé aussi comme chez Boulanger.;2024-02-01 11:30:57;cdiscount.com;2024-02-01 21:07:43
5;Je commande sur UBALDI depuis plus de 10 ans. Je n’ai jamais eu de problème. Les livraisons sont rapides et les délais respectés. Les prix sont compétitifs. J’ai eu l’occasion de me rendre dans l’un de leur magasin dans le 91. Le personnel est formidable (accueil, renseignement ..);2024-02-01 12:23:59;cdiscount.com;2024-02-01 21:07:43
5;Matelas commandé le 25/01/2024 et reçu aujourd’hui, le 31/01/2024 comme demandé lors de la commande. Très bon suivi du colis puisque j’ai reçu des sms du transporteur à chaque étape clé. Service de livraison excellent, j’ai été notifiée du créneau prévu hier et ce matin un nouvel sms m’indiquait une heure précise. Les livreurs ont été ponctuels et ont effectué ce qui leur avait été demandé avec professionnalisme. Pour une première expérience avec ce site web et ce transporteur je suis pleinement satisfaite. Le produit reçu correspond à mes attentes. Il est de bonne facture, fabriqué par une marque de grande renommée, et très confortable, le tout pour un prix très raisonnable et avec livraison offerte.Je recommande sans hésiter.;2024-01-31 14:47:32;cdiscount.com;2024-02-01 21:07:43
4;Le site m’a été conseillé par des amis et je ne regrette pas le choix de mon achat sur ce site.Le livraison a été effectuée avec soins,avec des livreurs qui ont pris le temps de déballer le colis, et me laisser valider que ma commande était conforme. le seul soucis et je trouve cela dommage c’est que au moment de ma commande plusieurs dates m’ont été proposées (point positifs) et validées. Sauf que la veille de la livraison j’ai reçu un sms du transporteur m’informant que je devais re valider une nouvelle date car la livraison était impossible ce jour là . et bien entendu il a fallu attendre la semaine qui suit et il a fallu se réorganiser pour se rendre disponible.Dommage ….;2024-02-01 16:44:24;cdiscount.com;2024-02-01 21:07:43
4;Magnifiques prestations sonores de cette baffe de marque reconnue. Les effets de lumières amènent un plus, plutôt sympa. Quelques soucis avec le prestataire de livraison. Je viens, je ne viens plus. Je reviens, je ne reviens plus... MAis bon.... Mais très satisfaits du produit et c'est bien le plus important. UBALDI nous a comme souvent offert un tarif plutôt compétitif.;2024-02-01 12:48:29;cdiscount.com;2024-02-01 21:07:43
1;"Livraison aujourd'hui d'un lave vaisselle chez ma maman âgée.Les personnes qui sont venues n'ont pas été capables d'installer l'appareil sous prétexte que les tuyaux sont vieux et sont repartis en disant ""coupez l'eau et appelez un plombier"".C'est inadmissible de laisser une personne âgée comme ça.Je suis extrêmement mécontente.Peut être qu'il serait judicieux d'envoyer des personnes compétentes faire les installations.";2024-02-01 15:23:57;cdiscount.com;2024-02-01 21:07:43
3;Vraiment très bien concernant les articles et les prix . Mais Ubaldi devrait être plus vigilant dans le choix de ses transporteurs notamment Chronopost qui a un service déplorable. Mon article m'a été livré 14 jours apres son exepdition, suite à de nombreux contacts au téléphone et prétextes pour non-livraison à mon domicile. Finalement j'ai dû aller le chercher dans un point relais ....;2024-02-01 13:04:20;cdiscount.com;2024-02-01 21:07:43
1;Bonjour, livraison rapide cependant le colis abîmé, le livreur n'a pas fait le tour pour vérifier avec nous ! 1 semaine pour traiter le dossier puis 1 semaine pour retirer le colis et 1 semaine pour nous avertir par mail qu'ils effectuent un remboursement alors qu'on avait demandé une réexpédition !!! Le televendeur irrespectueux... Raccroche au nez !!Point positif remboursement rapide et comme quelqu'un l'a déjà dit, quand y'a pas de problème tout va et quand y'a un souci c'est une CATA. Mauvaise expérience.;2024-02-01 19:48:30;cdiscount.com;2024-02-01 21:07:43
5;"Commande d'une  Crepiere  Billig le dimanche soir ; reçue le mardi (en moins de 48h). Aussi rapide qu'amazon prime mais livraison gratuite. Prix 15%  moins cher du marché .";2024-02-01 10:49:57;cdiscount.com;2024-02-01 21:07:43
5;Très satisfaite sur la livraison. Livreur très sympa et compétent. C'est la première fois que j'utilise la marque Indesit. Je suis enchantée par le lave-linge que j'ai acheté. Merci au livreur et à Ubaldi.;2024-01-31 11:29:54;cdiscount.com;2024-02-01 21:07:43
5;Site facile et complet. Suis très contente de mon frigo....beau, silencieux et livré par 2 personnes dans la pièce de mon choix, dans les délais et en bon état. Les emballages ont été remporté par le transporteur.  Le règlement en 4 fois par PayPal facilite le règlement.  Je recommande Ubaldi;2024-01-31 15:14:53;cdiscount.com;2024-02-01 21:07:43
5;Article en stock à bon prix. Livraison rapide et soignée. Le livreur a déballé le Téléviseur et a testé son bon fonctionnement avec moi avant de partir.;2024-02-01 11:30:15;cdiscount.com;2024-02-01 21:07:43
5;Une expérience très positive avec Ubaldi à Menton. J'ai acheté un micro-ondes De Dietrich, qui est excellent, et la livraison a été efficace. Cependant, il y a eu un problème avec l'installation correcte car l'espace de rangement existant dans ma cuisine était trop grand, laissant un espace vide en haut.  Ubaldi a depuis réglé le problème sans faute et je suis extrêmement satisfait de l'assistance que j'ai reçue du responsable du magasin Ubaldi de Menton, du temps qu'il a consacré à régler mon problème et de la communication entre nous.  Le poser venu réinstaller correctement mon micro-ondes a été très efficace aussi, patient et minutieux. Merci Menton d'avoir encore une fois fait du bon travail pour moi et je continuerai certainement à utiliser ce magasin à l'avenir.;2024-01-31 13:41:18;cdiscount.com;2024-02-01 21:07:43
5;Site  Ubaldi facile à utiliser, recherches conformes à mes attentes, délai de livraison tel qu'annoncé. Bien que visiblement  pressé, le livreur n a pas esquivé l'ouverture du colis avant acceptation.;2024-02-01 11:32:36;cdiscount.com;2024-02-01 21:07:43
3;Canapé conforme, mis à part 2 traces de feutre sur une assise, sans grande conséquence puisque dissimulées au montage par le dossier.Je regrette également la non reprise 1/1 qui pourtant avait été signalée lors de la commande.Par contre les dates de livraison (du 26/01/24 au 02/02/24 )n'ont pas été respectées. Notification de livraison le 24/01/2024 pour une livraison entre 10-12H le jour même, puis livraison retardée au début d'après-midi 13-14h  ce qui m'a mis dans l'embarras au niveau de mon travail.Certes habitatetjardin répond tout en s'excusant, mais aucune proposition de geste co. de leur part. S'eût été la moindre des choses!;2024-01-30 08:36:49;cdiscount.com;2024-02-01 21:07:43
3;Habitat et jardin : Satisfait globalement sauf pour un détail important :Les erreurs et imprécisions sur les matériaux.Je vous avais contacté pour connaître les matières et leurs résistances: vous m’aviez répondu que la structure était en aluminium, et la plastique un type polypropylène.C’est en partie faux car il y a de l’acier qui rouille dans votre structure. Et ça commence déjà à rouiller. Le rail du toit pour exemple. La peinture est rayée et ça rouille. Je pense qu’il y a d’autres zones dans ce cas.C’est inadmissible de vanter ses qualités de résistance aux intempéries…Dans votre fiche technique vous notez : matière : résine. C’est erroné , imprécis, et non technique.C’est trompeur vous devriez corriger.Cordialement;2024-01-28 17:12:48;cdiscount.com;2024-02-01 21:07:43
2;Parce qu’au moment du paiement ma carte ne passait pas, j’ai du recommencer 3 fois la transaction. Donc mon compte bancaire a été prélevé 3 fois … les 2 premieres commandes ont ete annulées sans problème dans les jours qui ont suivi, j’attends toujours les remboursements. La commande qui a finalement été validée ne reprenait pas le reduction des frais de port de 6€. La commande portant sur des articles soldes, la reduction de 10€ de bienvenue n'a pas pu être appliquée. Neanmoins la livraison a ate tres rapide, bien avant les remboursements attendus !;2024-01-24 23:23:51;cdiscount.com;2024-02-01 21:07:43
1;Bonjour,je n'ai jamais été livré il a fallu que j'aille chez le transporteur pour récupérer mon Colis après une semaine de réclamations sans aucun retour de la part de Habitat et Jardin La raison il manque un colis. Il est impossible de joindre Habitat et jardin soit par téléphone ou par mail !!!!un service client inacceptable !!!!! Maintenant je pense que le colis manquant ne me sera pas remboursé...qui joindre ????FUYEZ CE SITE IMPÉRATIVEMENT LEUR SEULE QUALITÉ PRENDRE VOS PAIEMENTS!;2024-01-20 10:09:15;cdiscount.com;2024-02-01 21:07:43
3;Après avoir passé une commande de 3 lots de 2 chaises, nous avons eu la mauvaise surprise de ne reçevoir qu'un seul lot de deux chaises.La commande étant validé et livré, nous sommes toujours dans l'attente d'une réponse du sav et de nos quatres chaises.En espérant que le problème ce règle rapidement et sans recours.;2024-01-22 09:30:10;cdiscount.com;2024-02-01 21:07:43
1;Aucune nouvelle depuis que j ai passé commande (14/01): pas de mail de confirmation d envoi, j attend ma commande et cela m’inquiète de recevoir une demande de retour suite à mon achat… que je n’ai pas encore Cordialement;2024-01-21 22:10:26;cdiscount.com;2024-02-01 21:07:43
4;J'ai eu un beug sur ma commande après avoir informé mes coordonnées bancaires, j'ai donc du appeler le service client dont l'appel est payant, ce qui n'est pas commerçant je trouve.J'ai re-saisi ma commande qui s'est parfaitement déroulée par la suite.;2024-01-18 23:42:38;cdiscount.com;2024-02-01 21:07:43
1;Ne pas acheter de serre jardin!!!!!! Produits contrefait (chinoiserie absolue) toutes les vis se devises au fur et à mesure du temps,du vent, plaques de 3 mm d'épaisseur au 1 er coup de vent ça s'envole tout ça pour 500 balles.Il manquait 8 articles dans le montage, j'ai du faire appel au service technique surtaxé. On me propose un bon de réduction de 10 euros pour le dédommagement. NE RIEN ACHETER SUR HABITAT ET JARDIN;2024-01-18 17:34:51;cdiscount.com;2024-02-01 21:07:43
1;Colis arrivé remballer par le livreurChocs sur les pieds des chaises non protégésVisseries absente pour 4 chaises Un honte de recevoir cela !! J'ai demandé un dédommagement... On m'a proposé un bon achat de 20€ sur leur site, hors de question que je re commande chez euxPersonne ne m'as contacter par téléphone;2024-01-22 15:58:58;cdiscount.com;2024-02-01 21:07:43
5;Commande sans problème et livraison rapide et dans de bonnes conditions.;2024-01-31 08:51:48;cdiscount.com;2024-02-01 21:07:43
5;le site est agréable, facile à utiliser, les prix très attractifs, facilité de paiement;2024-01-29 19:33:02;cdiscount.com;2024-02-01 21:07:43
5;Tout c’est bien passé. Envoi rapide, au lendemain de ma commande, pour une livraison prévu deux jours après. Respect des délais et un bon suivi colis. Article bien emballé 👍🏼;2024-01-23 15:21:51;cdiscount.com;2024-02-01 21:07:43
4;Achat d' un fauteuil relax bukimgam, livraison dans carton impeccable. Seulement 3 éléments à monter sans notice sans explications. Pour basculer le dossier il faut s appuyer dessus avec le dos. Pour remettre le repose pieds en place appuyer avec les jambes jusqu au clic.;2024-01-12 14:00:36;cdiscount.com;2024-02-01 21:07:43
1;J'ai commandé chez eux le 10 Janvier 2024,deja pour suivre le colis c'est pas pratique cest groupe mazet,après commerces messagerie. J'appelle c'est société la pour savoir ou en est mon colis. Et la j'ai le monsieur qui verifie les colis qui me dit qui voie en photos un lit avec des trou partout qu'il la mal été protégé,2eme photos le bois abimer bref un produits défectueux comme il ma dit,et qui pourrait pas me livrée la marchandise dans cette état la. Déla vous imaginée mon mécontentement ... Je contacte directement Habitat et jardin la ou jai commender le lit et la plus personne repond jai appelé 25 fois aucune de leur pas. Je souhaite être rembourser et plus rien a faire avec eux. Je lu les avis bien après que du négatif a par ceux qu'ils on reçu parfois des colis correct c'était juste un coup de chance... un site a FUIR !!!!!;2024-01-18 23:08:10;cdiscount.com;2024-02-01 21:07:43
5;Rien à reprocher ... envoi très rapide, livraison parfaitement déroulée, produit conforme à ce que j'attendais, de bonne facture, fonctionne bien.;2024-01-24 23:07:11;cdiscount.com;2024-02-01 21:07:43
5;Efficace pour la livraison et conforme pour le produit;2024-02-01 08:24:23;cdiscount.com;2024-02-01 21:07:43
5;Qualité surprenante Je suis fan et très satisfaite de mon achat;2024-01-30 06:44:13;cdiscount.com;2024-02-01 21:07:43
1;Habitat et jardin a une pratique commerciale déplorable.Matériel dispo lors de la commande (870€), règlement encaissé immédiatement et quelques jours plus tard alors que j'attendais la livraison annoncée dans les 2 à 3 jours suivants, le matériel n'est plus en stock!!! Réapprovisionnement prévu dans environ 3 mois.Facile de procéder comme ça et de faire travailler l'argent des clients en attendant le remboursement qui tarde à venir.Grosse marge de progression pour ce vendeur peut scrupuleux qui n'est pas à fréquenter, Site est en relation avec des vendeurs bien notés comme  Leroy Merlin et ManoMano et d'autres je ne comprends pas qu'on puisse travailler avec des gens comme ça sans ternir son image et surtout sans vérifier leur fiabilité.;2024-01-11 14:02:19;cdiscount.com;2024-02-01 21:07:43
3;Les meubles sont conformes à leurs descriptions et les délais de livraison ont été beaucoup plus rapides qu'annoncés sur le site (positif).Par contre, 2 colis sur 3 ont été livrés abimés. Les meubles étaient rayés ou des angles abimés à l'ouverture des cartons.Les meubles n'ont pas été renvoyés car les rayures étaient surtout sur l'arrière, mais nous ne ferons plus d'achat sur ce site.;2024-01-13 15:20:56;cdiscount.com;2024-02-01 21:07:43
1;Très mauvaise expérience, commande en septembre 2023. Délai pour la livraison déjà, puis sur deux colis les deux avaient des pièces manquantes donc serre et embase immontables et depuis le SAV n'est pas au rendez-vous, pas de remboursement et pas d'envoi des pièces manquantes (nous sommes le 08/01/2024)... je déconseille donc vivement !;2024-01-08 13:09:08;cdiscount.com;2024-02-01 21:07:43
4;Lors de l'achat,  j'avais un délai de livraison de 3 mois 1/2 et finalement j'ai été livré 1 mois 1/2 après,  donc 2 mois d'avance ce qui a été la bonne surprise.  Par contre,  il manque sur la notice explicative de montage,  la précision que certaines pièces sont sous un scratch dans la tête de lit. Ce qui éviterait une perte de temps pour tout le monde,  et l'énervement pour moi car il est impossible de vous joindre par téléphone;2024-02-01 19:00:15;cdiscount.com;2024-02-01 21:07:43
5;J'avais lu des commentaires décevants à propos de Menzzo, mais j'ai appelé le service client pour en savoir plus, et je suis tombé sur une personne très aimable qui m'a rassuré.J'ai donc commandé mes fauteuils, et j'ai été livré la semaine suivante sans cartons abimés ou déchirés comme j'ai pu le lire. Les fauteuils sont arrivés en bon état. J'ai peut-être eu de la chance...;2024-02-01 10:50:43;cdiscount.com;2024-02-01 21:07:43
5;J'ai déjà répondu à ce questionnaire mais je renouvelle le commentaire.Achat de chaises identiques aux photos du site.Colis très bien emballé,  livraison rapide Livreur très professionnel Je recommande le sérieux de ce site.;2024-01-31 13:11:19;cdiscount.com;2024-02-01 21:07:43
3;2ème achat chez Menzzo.Le 1er s'était très bien passé.Pour le 2nd, la livraison a été plus qu'épique (j'ai du me déplacer dans 3 villes différentes de mon lieu d'habitation pour le retrouver).Que ce soit le service de livraison (chronopost) que le SAV Menzzo (injoignable par tél... il faut prendre RDV), le service est déplorable. Le tout pour 25€ de frais de livraison !En revanche satisfait du produit.;2024-02-01 10:34:20;cdiscount.com;2024-02-01 21:07:43
5;La commande s'est passée parfaitement.La livraison est arrivée très vite.Aucun souci à relever.Seul petit bémol, je pensais pouvoir retirer directement mon achat à l'entrepôt, mais la solution n'était pas proposé, obligeant a payer une livraison.;2024-01-31 14:35:16;cdiscount.com;2024-02-01 21:07:43
3;Livrer 3 semaine plus tard cartons défoncé abats jour lampe abîmé j'ai cru être livré à Pâques du cadeau de Noël de mes parents J’ai été rappelé suite à mon mécontentement et ils m’ont proposé geste commercial, beau suivi commercial et correctif appliqué immédiatement;2024-02-01 12:57:24;cdiscount.com;2024-02-01 21:07:43
5;A part la livraison qui a été très compliquée, je suis très satisfaite de mon achat, le désign de mes chaises me plaît beaucoup, elles sont très confortables et de qualité. Je ne suis pas du tout déçue maintenant à voir dans le temps...;2024-01-31 10:29:16;cdiscount.com;2024-02-01 21:07:43
